DATA;REG_ANS;CD_CONTA_CONTABIL;DESCRICAO;VL_SALDO_INICIAL;VL_SALDO_FINAL;trimestre;ano
2023-01-01;360783;12391;OUTROS CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA MÉDICO-HOSPITALAR;0.0;0.0;1T;2023
2023-01-01;360783;123911;Cobertura Assistencial com Preço Preestabelecido;0.0;0.0;1T;2023
2023-01-01;360783;12391101;Resseguros;0.0;0.0;1T;2023
2023-01-01;360783;123911011;Reembolso de Sinistros pendentes de liquidação;0.0;0.0;1T;2023
2023-01-01;360783;123911012;Reembolso de Sinistros liquidados;0.0;0.0;1T;2023
2023-01-01;360783;123911019;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;12391102;Seguros;0.0;0.0;1T;2023
2023-01-01;360783;123911021;Reembolso de Sinistros pendentes de liquidação;0.0;0.0;1T;2023
2023-01-01;360783;123911022;Reembolso de Sinistros liquidados;0.0;0.0;1T;2023
2023-01-01;360783;123911029;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;12391108;Outros Créditos de Operações de Assistência Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;123911082;Créditos em Programas ou Fundos para Custeio de Despesas de Assistência Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;123911088;Outros Créditos de Operações de Assistência Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;123911089;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;123912;Cobertura Assistencial com Preço Pós-estabelecido;0.0;0.0;1T;2023
2023-01-01;360783;12391208;Outros Créditos de Operações de Assistência Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;123912082;Créditos em Programas ou Fundos para Custeio de Despesas de Assistência Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;123912088;Outros Créditos de Operações de Assistência Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;123912089;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;12392;OUTROS CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA ODONTOLÓGICA;0.0;0.0;1T;2023
2023-01-01;360783;123921;Cobertura Assistencial com Preço Preestabelecido;0.0;0.0;1T;2023
2023-01-01;360783;12392101;Resseguros;0.0;0.0;1T;2023
2023-01-01;360783;123921011;Reembolso de Sinistros pendentes de liquidação;0.0;0.0;1T;2023
2023-01-01;360783;123921012;Reembolso de Sinistros liquidados;0.0;0.0;1T;2023
2023-01-01;360783;123921019;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;12392102;Seguros;0.0;0.0;1T;2023
2023-01-01;360783;123921021;Reembolso de Sinistros pendentes de liquidação;0.0;0.0;1T;2023
2023-01-01;360783;123921022;Reembolso de Sinistros liquidados;0.0;0.0;1T;2023
2023-01-01;360783;123921029;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;12392108;Outros Créditos de Operações de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;123921082;Créditos em Programas ou Fundos para Custeio de Despesas de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;123921088;Outros Créditos de Operações de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;123921089;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;123922;Cobertura Assistencial com Preço Pós-estabelecido;0.0;0.0;1T;2023
2023-01-01;360783;12392208;Outros Créditos de Operações de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;123922082;Créditos em Programas ou Fundos para Custeio de Despesas de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;123922088;Outros Créditos de Operações de Assistência Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;123922089;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;124;CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA À SAÚDE NÃO RELACIONADOS COM PLANOS DE SAÚDE DA OPERADORA;168042.38;156971.82;1T;2023
2023-01-01;360783;1241;CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA À SAÚDE NÃO RELACIONADOS COM PLANOS DE SAÚDE DA OPERADORA;168042.38;156971.82;1T;2023
2023-01-01;360783;12411;CRÉDITOS A RECEBER DE PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR;168042.38;156971.82;1T;2023
2023-01-01;360783;124119;Contas a Receber de Prestação de Serviços Médico-Hospitalar;168042.38;156971.82;1T;2023
2023-01-01;360783;12411901;Contas a Receber;168042.38;156971.82;1T;2023
2023-01-01;360783;124119011;Contas a Receber;172292.73;156971.82;1T;2023
2023-01-01;360783;124119019;(-) Provisão para Perdas Sobre Créditos;-4250.35;0.0;1T;2023
2023-01-01;360783;12411902;Intercâmbio a Receber - Atendimento Eventual;0.0;0.0;1T;2023
2023-01-01;360783;124119021;Taxa de Administração;0.0;0.0;1T;2023
2023-01-01;360783;124119022;Reembolso;0.0;0.0;1T;2023
2023-01-01;360783;124119029;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;12411908;Outros Créditos Operacionais de Prestação de Serviço Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;124119082;Créditos com Administração de Programas ou Fundos de Custeio de Despesas Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;124119088;Outros Créditos Operacionais de Prestação de Serviço Médico-Hospitalar;0.0;0.0;1T;2023
2023-01-01;360783;124119089;(-) Provisão para Perdas Sobre Créditos;0.0;0.0;1T;2023
2023-01-01;360783;12412;CRÉDITOS A RECEBER DE PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA ODONTOLÓGICA;0.0;0.0;1T;2023
2023-01-01;360783;124129;Contas a Receber de Prestação de Serviços Odontológica;0.0;0.0;1T;2023
2023-01-01;360783;12412901;Contas a Receber;0.0;0.0;1T;2023
2023-01-01;360783;124129011;Contas a Receber;0.0;0.0;1T;2023
